datetime,feelslike,precip,cloudcover,uvindex
2015-01-01,-3.9,0.0,11.3,5
2015-01-02,-0.1,0.024,37.1,4
2015-01-03,-1.2,17.008,69.4,1
2015-01-04,8.0,8.886,92.7,1
2015-01-05,-2.5,0.0,35.7,4
2015-01-06,-10.1,1.281,65.4,2
2015-01-07,-14.7,0.0,38.9,4
2015-01-08,-17.4,0.0,15.8,5
2015-01-09,-9.1,1.759,57.8,5
2015-01-10,-13.2,0.0,4.6,5
2015-01-11,-6.0,0.0,50.6,5
2015-01-12,0.9,9.296,100.0,1
2015-01-13,-8.8,0.0,43.8,5
2015-01-14,-9.0,0.0,71.2,3
2015-01-15,-4.7,0.0,47.7,5
2015-01-16,-5.3,0.0,33.7,5
2015-01-17,-9.4,0.0,12.8,5
2015-01-18,0.2,51.681,85.2,0
2015-01-19,0.0,0.542,80.9,4
2015-01-20,-0.5,0.0,68.7,5
2015-01-21,-3.5,0.0,58.6,4
2015-01-22,-1.5,0.0,63.8,5
2015-01-23,-2.7,0.0,22.6,5
2015-01-24,-1.5,18.14,86.5,2
2015-01-25,-0.9,0.0,57.3,5
2015-01-26,-10.4,8.928,98.7,3
2015-01-27,-10.6,8.247,78.1,3
2015-01-28,-9.7,0.0,14.2,6
2015-01-29,-5.4,0.0,47.1,5
2015-01-30,-4.9,2.396,75.1,5
2015-01-31,-14.7,0.0,5.5,6
2015-02-01,-4.3,0.536,75.1,5
2015-02-02,-8.5,27.056,91.0,2
2015-02-03,-12.7,0.0,18.6,6
2015-02-04,-1.3,0.0,75.3,5
2015-02-05,-7.0,0.0,57.0,5
2015-02-06,-13.0,0.0,27.9,5
2015-02-07,-2.8,0.375,86.6,4
2015-02-08,-2.6,0.0,94.7,4
2015-02-09,-9.0,2.208,100.0,2
2015-02-10,-5.9,0.185,77.0,6
2015-02-11,-6.4,0.0,16.8,7
2015-02-12,-4.2,0.0,88.5,6
2015-02-13,-17.0,0.0,7.5,7
2015-02-14,-7.1,0.462,85.6,4
2015-02-15,-18.6,0.309,53.4,7
2015-02-16,-18.0,0.0,31.7,7
2015-02-17,-9.8,3.482,69.0,6
2015-02-18,-6.6,0.0,43.9,7
2015-02-19,-15.7,0.0,49.5,6
2015-02-20,-20.2,0.0,3.8,7
2015-02-21,-9.1,13.519,61.9,5
2015-02-22,1.2,4.513,63.8,6
2015-02-23,-11.5,0.0,44.5,7
2015-02-24,-14.8,0.0,25.4,7
2015-02-25,-5.4,0.0,23.7,7
2015-02-26,-9.0,0.0,74.1,7
2015-02-27,-9.4,0.0,32.4,7
2015-02-28,-8.8,0.0,12.3,8
2015-03-01,-3.8,12.965,79.1,3
2015-03-02,-3.4,0.0,52.1,7
2015-03-03,-5.2,16.501,58.3,5
2015-03-04,1.8,4.775,99.2,3
2015-03-05,-6.9,20.684,96.3,1
2015-03-06,-11.3,0.0,11.4,8
2015-03-07,-5.9,0.0,41.7,8
2015-03-08,3.5,0.0,65.1,8
2015-03-09,6.9,0.367,31.6,8
2015-03-10,6.2,9.471,58.0,5
2015-03-11,9.3,2.077,49.9,6
2015-03-12,3.1,0.0,3.9,8
2015-03-13,-0.1,0.0,26.2,8
2015-03-14,5.4,21.826,98.7,1
2015-03-15,1.6,0.064,91.4,5
2015-03-16,3.9,0.0,37.7,7
2015-03-17,6.9,0.36,71.1,6
2015-03-18,-4.4,0.0,46.9,7
2015-03-19,-2.0,0.0,30.0,8
2015-03-20,-3.1,9.09,81.3,2
2015-03-21,0.4,0.196,86.5,8
2015-03-22,-1.0,0.0,16.1,8
2015-03-23,-5.3,0.0,11.2,9
2015-03-24,-1.0,0.0,42.1,8
2015-03-25,2.8,1.41,48.7,8
2015-03-26,8.9,6.151,98.5,3
2015-03-27,4.0,8.841,99.7,3
2015-03-28,-2.0,0.0,97.0,5
2015-03-29,-2.0,0.0,43.0,9
2015-03-30,4.4,0.0,69.6,6
2015-03-31,2.3,3.978,75.3,5
2015-04-01,2.8,0.0,20.3,9
2015-04-02,11.2,0.0,20.7,9
2015-04-03,16.1,1.078,84.5,2
2015-04-04,9.2,0.185,50.9,9
2015-04-05,9.3,0.0,52.2,8
2015-04-06,10.2,0.0,22.7,9
2015-04-07,10.3,3.445,94.0,5
2015-04-08,2.1,0.535,100.0,3
2015-04-09,0.5,0.0,100.0,3
2015-04-10,7.1,4.932,95.9,3
2015-04-11,11.7,0.0,25.3,9
2015-04-12,10.5,0.0,6.0,9
2015-04-13,14.7,0.0,28.0,9
2015-04-14,15.7,0.185,69.1,3
2015-04-15,16.2,0.0,29.7,9
2015-04-16,13.5,0.0,33.2,8
2015-04-17,16.6,1.694,81.7,4
2015-04-18,20.0,0.0,24.3,9
2015-04-19,12.7,0.0,30.3,9
2015-04-20,10.0,28.674,95.6,3
2015-04-21,14.5,7.403,56.4,9
2015-04-22,14.0,1.722,49.0,8
2015-04-23,4.6,0.0,52.2,7
2015-04-24,3.1,0.0,63.8,5
2015-04-25,7.4,0.0,18.9,9
2015-04-26,11.6,0.0,49.1,8
2015-04-27,12.1,0.0,83.5,7
2015-04-28,15.5,0.0,40.0,6
2015-04-29,17.5,0.0,21.0,9
2015-04-30,12.0,0.0,48.4,8
2015-05-01,11.2,0.0,85.1,5
2015-05-02,12.7,0.0,35.0,8
2015-05-03,17.1,0.0,24.7,9
2015-05-04,21.1,0.0,11.7,9
2015-05-05,22.8,0.0,44.8,8
2015-05-06,19.1,0.0,71.4,5
2015-05-07,18.6,0.0,9.0,9
2015-05-08,19.3,0.0,18.6,9
2015-05-09,16.0,0.067,91.8,3
2015-05-10,21.8,0.0,68.6,9
2015-05-11,23.8,0.687,54.4,7
2015-05-12,24.4,0.0,53.1,8
2015-05-13,16.6,0.0,55.4,7
2015-05-14,16.1,0.0,13.0,10
2015-05-15,17.4,0.0,41.4,9
2015-05-16,18.9,8.072,79.9,7
2015-05-17,23.1,1.715,61.3,8
2015-05-18,18.2,0.0,78.1,4
2015-05-19,18.8,0.067,69.0,6
2015-05-20,15.7,0.0,41.1,9
2015-05-21,13.6,0.0,78.5,4
2015-05-22,17.6,0.0,60.5,9
2015-05-23,14.7,0.0,5.9,10
2015-05-24,19.7,0.0,22.7,10
2015-05-25,23.4,0.0,29.6,9
2015-05-26,24.5,0.0,24.9,9
2015-05-27,24.0,1.938,58.7,9
2015-05-28,25.0,0.0,60.2,9
2015-05-29,22.3,0.0,19.4,10
2015-05-30,23.8,0.0,27.5,9
2015-05-31,23.0,37.999,66.0,8
2015-06-01,13.4,23.483,100.0,4
2015-06-02,11.3,10.039,100.0,1
2015-06-03,14.8,0.0,71.2,8
2015-06-04,14.7,0.0,70.0,5
2015-06-05,15.7,2.637,90.0,5
2015-06-06,19.3,6.575,66.4,7
2015-06-07,18.2,0.0,20.0,9
2015-06-08,20.9,0.692,70.7,7
2015-06-09,23.7,1.296,69.7,7
2015-06-10,23.6,0.0,17.5,9
2015-06-11,28.1,0.0,41.1,9
